A–H,B·,A·,B–H,TS,ML Barrier (kcal/mol),DFT Barrier (kcal/mol),Difference (kcal/mol)
PRE-B1e,PRE-N1,POST-B1e-H3,POST-N1,,21.25,21.90,-0.65
PRE-B1f,PRE-N1,POST-B1f-H1,POST-N1,,15.22,16.20,-0.98
PRE-B1f,PRE-N1,POST-B1f-H2,POST-N1,,18.96,19.10,-0.14
PRE-B1f,PRE-N1,POST-B1f-H3,POST-N1,,21.12,22.20,-1.08
PRE-B1h,PRE-N1,POST-B1h-H1,POST-N1,,15.43,16.00,-0.57
PRE-B1h,PRE-N1,POST-B1h-H2,POST-N1,,18.95,18.30,0.65
PRE-B1h,PRE-N1,POST-B1h-H3,POST-N1,,21.13,21.60,-0.47
PRE-B1j,PRE-N1,POST-B1j-H1,POST-N1,,21.04,22.30,-1.26
PRE-B1j,PRE-N1,POST-B1j-H2,POST-N1,,20.37,20.50,-0.13
PRE-B1j,PRE-N1,POST-B1j-H3,POST-N1,,22.22,22.60,-0.38
PRE-B1k,PRE-N1,POST-B1k-H1,POST-N1,,24.25,25.90,-1.65
PRE-B1k,PRE-N1,POST-B1k-H2,POST-N1,,20.69,21.50,-0.81
PRE-B1k,PRE-N1,POST-B1k-H3,POST-N1,,22.26,22.90,-0.64
PRE-B1l,PRE-N1,POST-B1l-H1,POST-N1,,20.67,20.70,-0.03
PRE-B1l,PRE-N1,POST-B1l-H2,POST-N1,,19.87,20.60,-0.73
PRE-B1l,PRE-N1,POST-B1l-H3,POST-N1,,21.39,21.80,-0.41
PRE-B1m,PRE-N1,POST-B1m-H1,POST-N1,,20.09,20.80,-0.71
PRE-B1m,PRE-N1,POST-B1m-H2,POST-N1,,19.07,19.80,-0.73
PRE-B1m,PRE-N1,POST-B1m-H3,POST-N1,,21.15,21.00,0.15
PRE-B1n,PRE-N1,POST-B1n-H1,POST-N1,,8.64,7.70,0.94
PRE-B1n,PRE-N1,POST-B1n-H2,POST-N1,,18.57,19.50,-0.93
PRE-B1n,PRE-N1,POST-B1n-H3,POST-N1,,20.60,21.40,-0.80
PRE-B2a,PRE-N1,POST-B2a-H1,POST-N1,,16.68,17.10,-0.42
PRE-B2a,PRE-N1,POST-B2a-H2,POST-N1,,21.49,21.70,-0.21
PRE-B2b,PRE-N1,POST-B2b-H1,POST-N1,,20.17,21.20,-1.03
PRE-B2b,PRE-N1,POST-B2b-H2,POST-N1,,23.51,23.80,-0.29
PRE-B2c,PRE-N1,POST-B2c-H1,POST-N1,,10.31,10.10,0.21
PRE-B2c,PRE-N1,POST-B2c-H2,POST-N1,,22.07,22.70,-0.63
PRE-B2d,PRE-N1,POST-B2d-H1,POST-N1,,22.53,23.50,-0.97
PRE-B2d,PRE-N1,POST-B2d-H2,POST-N1,,24.55,24.80,-0.25
PRE-B2e,PRE-N1,POST-B2e-H1,POST-N1,,13.47,13.40,0.07
PRE-B2e,PRE-N1,POST-B2e-H2,POST-N1,,20.66,21.70,-1.04
PRE-B2f,PRE-N1,POST-B2f-H1,POST-N1,,14.27,15.10,-0.83
PRE-B2f,PRE-N1,POST-B2f-H2,POST-N1,,22.02,22.20,-0.18
PRE-B2h,PRE-N1,POST-B2h-H1,POST-N1,,13.97,14.80,-0.83
PRE-B2h,PRE-N1,POST-B2h-H2,POST-N1,,22.28,22.30,-0.02
PRE-B2j,PRE-N1,POST-B2j-H1,POST-N1,,19.39,20.00,-0.61
PRE-B2j,PRE-N1,POST-B2j-H2,POST-N1,,22.69,24.10,-1.41
PRE-B2k,PRE-N1,POST-B2k-H1,POST-N1,,22.04,23.50,-1.46
PRE-B2k,PRE-N1,POST-B2k-H2,POST-N1,,23.54,24.70,-1.16
PRE-B2l,PRE-N1,POST-B2l-H1,POST-N1,,18.59,19.30,-0.71
PRE-B2l,PRE-N1,POST-B2l-H2,POST-N1,,21.26,22.00,-0.74
PRE-B2m,PRE-N1,POST-B2m-H1,POST-N1,,17.92,18.40,-0.48
PRE-B2m,PRE-N1,POST-B2m-H2,POST-N1,,20.94,22.30,-1.36
PRE-B2n,PRE-N1,POST-B2n-H1,POST-N1,,8.38,7.90,0.48
PRE-B2n,PRE-N1,POST-B2n-H2,POST-N1,,20.54,21.30,-0.76
PRE-C1a,PRE-N1,POST-C1a-H1,POST-N1,,16.91,17.60,-0.69
PRE-C1b,PRE-N1,POST-C1b-H1,POST-N1,,19.03,20.30,-1.27
PRE-C1c,PRE-N1,POST-C1c-H1,POST-N1,,12.97,13.00,-0.03
PRE-C1d,PRE-N1,POST-C1d-H1,POST-N1,,21.42,22.30,-0.88
PRE-C1e,PRE-N1,POST-C1e-H1,POST-N1,,14.07,13.70,0.37
PRE-C1f,PRE-N1,POST-C1f-H1,POST-N1,,14.50,15.50,-1.00
PRE-C1h,PRE-N1,POST-C1h-H1,POST-N1,,14.89,15.60,-0.71
PRE-C1i,PRE-N1,POST-C1i-H1,POST-N1,,17.63,18.80,-1.17
PRE-C1j,PRE-N1,POST-C1j-H1,POST-N1,,18.73,19.50,-0.77
PRE-C1k,PRE-N1,POST-C1k-H1,POST-N1,,21.33,21.70,-0.37
PRE-C1l,PRE-N1,POST-C1l-H1,POST-N1,,18.22,19.40,-1.18
PRE-C1m,PRE-N1,POST-C1m-H1,POST-N1,,17.29,19.60,-2.31
PRE-C1n,PRE-N1,POST-C1n-H1,POST-N1,,10.16,10.50,-0.34
PRE-D1a,PRE-N1,POST-D1a-H1,POST-N1,,15.34,15.80,-0.46
PRE-D1b,PRE-N1,POST-D1b-H1,POST-N1,,18.35,19.10,-0.75
PRE-D1c,PRE-N1,POST-D1c-H1,POST-N1,,12.29,12.00,0.29
PRE-D1d,PRE-N1,POST-D1d-H1,POST-N1,,20.23,21.30,-1.07
PRE-D1e,PRE-N1,POST-D1e-H1,POST-N1,,14.30,14.20,0.10
PRE-D1f,PRE-N1,POST-D1f-H1,POST-N1,,14.15,14.00,0.15
PRE-D1h,PRE-N1,POST-D1h-H1,POST-N1,,14.26,15.40,-1.14
PRE-D1j,PRE-N1,POST-D1j-H1,POST-N1,,18.45,19.50,-1.05
PRE-D1k,PRE-N1,POST-D1k-H1,POST-N1,,20.33,20.90,-0.57
PRE-D1l,PRE-N1,POST-D1l-H1,POST-N1,,18.25,19.60,-1.35
PRE-D1m,PRE-N1,POST-D1m-H1,POST-N1,,18.38,18.70,-0.32
PRE-D1n,PRE-N1,POST-D1n-H1,POST-N1,,10.50,8.70,1.80
PRE-E1a,PRE-N1,POST-E1a-H1,POST-N1,,18.40,18.80,-0.40
PRE-E1b,PRE-N1,POST-E1b-H1,POST-N1,,20.16,22.60,-2.44
PRE-E1c,PRE-N1,POST-E1c-H1,POST-N1,,14.40,15.10,-0.70
PRE-E1d,PRE-N1,POST-E1d-H1,POST-N1,,23.02,24.50,-1.48
PRE-E1e,PRE-N1,POST-E1e-H1,POST-N1,,15.87,15.70,0.17
PRE-E1f,PRE-N1,POST-E1f-H1,POST-N1,,17.14,17.60,-0.46
PRE-E1h,PRE-N1,POST-E1h-H1,POST-N1,,16.70,18.00,-1.30
PRE-E1i,PRE-N1,POST-E1i-H1,POST-N1,,19.46,20.60,-1.14
PRE-E1j,PRE-N1,POST-E1j-H1,POST-N1,,20.22,21.30,-1.08
PRE-E1k,PRE-N1,POST-E1k-H1,POST-N1,,22.86,24.80,-1.94
PRE-E1l,PRE-N1,POST-E1l-H1,POST-N1,,20.10,21.50,-1.40
PRE-E1m,PRE-N1,POST-E1m-H1,POST-N1,,19.27,20.10,-0.83
PRE-E1n,PRE-N1,POST-E1n-H1,POST-N1,,13.14,13.20,-0.06
PRE-F1a,PRE-N1,POST-F1a-H1,POST-N1,,16.14,16.20,-0.06
PRE-F1b,PRE-N1,POST-F1b-H1,POST-N1,,19.17,19.60,-0.43
PRE-F1c,PRE-N1,POST-F1c-H1,POST-N1,,11.76,12.60,-0.84
PRE-F1d,PRE-N1,POST-F1d-H1,POST-N1,,22.91,24.20,-1.29
PRE-F1e,PRE-N1,POST-F1e-H1,POST-N1,,15.66,15.70,-0.04
PRE-F1f,PRE-N1,POST-F1f-H1,POST-N1,,14.79,15.40,-0.61
PRE-F1h,PRE-N1,POST-F1h-H1,POST-N1,,14.53,15.30,-0.77
PRE-F1j,PRE-N1,POST-F1j-H1,POST-N1,,19.20,19.40,-0.20
PRE-F1k,PRE-N1,POST-F1k-H1,POST-N1,,22.31,23.30,-0.99
PRE-F1l,PRE-N1,POST-F1l-H1,POST-N1,,19.98,20.20,-0.22
PRE-F1m,PRE-N1,POST-F1m-H1,POST-N1,,20.17,23.30,-3.13
PRE-F1n,PRE-N1,POST-F1n-H1,POST-N1,,11.11,9.30,1.81
PRE-G1a,PRE-N1,POST-G1a-H1,POST-N1,,16.94,16.20,0.74
PRE-G1b,PRE-N1,POST-G1b-H1,POST-N1,,19.75,20.20,-0.45
PRE-G1c,PRE-N1,POST-G1c-H1,POST-N1,,12.60,12.90,-0.30
PRE-G1d,PRE-N1,POST-G1d-H1,POST-N1,,22.93,23.80,-0.87
PRE-G1e,PRE-N1,POST-G1e-H1,POST-N1,,15.20,14.80,0.40
PRE-G1f,PRE-N1,POST-G1f-H1,POST-N1,,14.43,15.20,-0.77
PRE-G1h,PRE-N1,POST-G1h-H1,POST-N1,,14.78,16.20,-1.42
PRE-G1i,PRE-N1,POST-G1i-H1,POST-N1,,18.34,19.20,-0.86
PRE-G1j,PRE-N1,POST-G1j-H1,POST-N1,,19.50,19.90,-0.40
PRE-G1k,PRE-N1,POST-G1k-H1,POST-N1,,22.55,23.30,-0.75
PRE-G1l,PRE-N1,POST-G1l-H1,POST-N1,,20.08,21.40,-1.32
PRE-G1m,PRE-N1,POST-G1m-H1,POST-N1,,20.14,20.70,-0.56
PRE-G1n,PRE-N1,POST-G1n-H1,POST-N1,,9.76,9.40,0.36
PRE-H1a,PRE-N1,POST-H1a-H1,POST-N1,,16.73,17.30,-0.57
PRE-H1b,PRE-N1,POST-H1b-H1,POST-N1,,19.25,20.10,-0.85
PRE-H1c,PRE-N1,POST-H1c-H1,POST-N1,,13.35,14.20,-0.85
PRE-H1d,PRE-N1,POST-H1d-H1,POST-N1,,21.27,21.80,-0.53
PRE-H1e,PRE-N1,POST-H1e-H1,POST-N1,,14.75,15.10,-0.35
PRE-H1f,PRE-N1,POST-H1f-H1,POST-N1,,15.37,16.80,-1.43
PRE-H1h,PRE-N1,POST-H1h-H1,POST-N1,,15.71,16.70,-0.99
PRE-H1j,PRE-N1,POST-H1j-H1,POST-N1,,19.28,20.40,-1.12
PRE-H1k,PRE-N1,POST-H1k-H1,POST-N1,,21.60,22.50,-0.90
PRE-H1l,PRE-N1,POST-H1l-H1,POST-N1,,18.30,17.70,0.60
PRE-H1m,PRE-N1,POST-H1m-H1,POST-N1,,18.58,18.90,-0.32
PRE-H1n,PRE-N1,POST-H1n-H1,POST-N1,,13.14,13.90,-0.76
PRE-I1a,PRE-N1,POST-I1a-H1,POST-N1,,14.61,15.20,-0.59
PRE-I1b,PRE-N1,POST-I1b-H1,POST-N1,,18.45,19.60,-1.15
PRE-I1c,PRE-N1,POST-I1c-H1,POST-N1,,14.50,14.10,0.40
PRE-I1d,PRE-N1,POST-I1d-H1,POST-N1,,18.74,20.30,-1.56
PRE-I1e,PRE-N1,POST-I1e-H1,POST-N1,,15.12,16.40,-1.28
PRE-I1f,PRE-N1,POST-I1f-H1,POST-N1,,15.25,16.20,-0.95
PRE-I1h,PRE-N1,POST-I1h-H1,POST-N1,,14.57,14.90,-0.33
PRE-I1j,PRE-N1,POST-I1j-H1,POST-N1,,17.44,18.10,-0.66
PRE-I1k,PRE-N1,POST-I1k-H1,POST-N1,,17.38,18.80,-1.42
PRE-I1l,PRE-N1,POST-I1l-H1,POST-N1,,15.25,14.90,0.35
PRE-I1m,PRE-N1,POST-I1m-H1,POST-N1,,14.29,14.60,-0.31
PRE-I1n,PRE-N1,POST-I1n-H1,POST-N1,,13.30,12.40,0.90
PRE-J1a,PRE-N1,POST-J1a-H1,POST-N1,,16.38,17.20,-0.82
PRE-J1b,PRE-N1,POST-J1b-H1,POST-N1,,18.34,18.70,-0.36
PRE-J1c,PRE-N1,POST-J1c-H1,POST-N1,,15.35,15.50,-0.15
PRE-J1d,PRE-N1,POST-J1d-H1,POST-N1,,18.43,18.70,-0.27
PRE-J1e,PRE-N1,POST-J1e-H1,POST-N1,,16.52,17.20,-0.68
PRE-J1f,PRE-N1,POST-J1f-H1,POST-N1,,16.05,16.60,-0.55
PRE-J1h,PRE-N1,POST-J1h-H1,POST-N1,,16.13,16.80,-0.67
PRE-J1i,PRE-N1,POST-J1i-H1,POST-N1,,16.61,17.30,-0.69
PRE-J1j,PRE-N1,POST-J1j-H1,POST-N1,,17.36,17.90,-0.54
PRE-J1k,PRE-N1,POST-J1k-H1,POST-N1,,18.39,19.60,-1.21
PRE-J1l,PRE-N1,POST-J1l-H1,POST-N1,,17.76,17.90,-0.14
PRE-J1m,PRE-N1,POST-J1m-H1,POST-N1,,16.54,17.20,-0.66
PRE-J1n,PRE-N1,POST-J1n-H1,POST-N1,,15.00,15.70,-0.70
PRE-SI1,PRE-N1,POST-SI1-H1,POST-N1,,14.50,15.40,-0.90
PRE-SI2,PRE-N1,POST-SI2-H1,POST-N1,,14.33,14.00,0.33
PRE-SI3,PRE-N1,POST-SI3-H1,POST-N1,,14.42,15.00,-0.58
PRE-A1a,PRE-N2,POST-A1a-H1,POST-N2,,18.93,19.30,-0.37
PRE-A1b,PRE-N2,POST-A1b-H1,POST-N2,,23.42,24.10,-0.68
PRE-A1c,PRE-N2,POST-A1c-H1,POST-N2,,12.47,12.60,-0.13
PRE-A1d,PRE-N2,POST-A1d-H1,POST-N2,,26.29,27.20,-0.91
PRE-A1e,PRE-N2,POST-A1e-H1,POST-N2,,15.79,16.20,-0.41
PRE-A1f,PRE-N2,POST-A1f-H1,POST-N2,,15.88,16.00,-0.12
PRE-A1h,PRE-N2,POST-A1h-H1,POST-N2,,16.56,17.00,-0.44
PRE-A1i,PRE-N2,POST-A1i-H1,POST-N2,,21.35,22.20,-0.85
PRE-A1j,PRE-N2,POST-A1j-H1,POST-N2,,21.42,22.60,-1.18
PRE-A1k,PRE-N2,POST-A1k-H1,POST-N2,,25.67,27.20,-1.53
PRE-A1l,PRE-N2,POST-A1l-H1,POST-N2,,22.35,22.90,-0.55
PRE-A1m,PRE-N2,POST-A1m-H1,POST-N2,,20.36,20.70,-0.34
PRE-A1n,PRE-N2,POST-A1n-H1,POST-N2,,10.42,9.60,0.82
PRE-B1a,PRE-N2,POST-B1a-H1,POST-N2,,17.26,17.50,-0.24
PRE-B1a,PRE-N2,POST-B1a-H3,POST-N2,,20.06,20.50,-0.44
PRE-B1b,PRE-N2,POST-B1b-H1,POST-N2,,20.45,21.20,-0.75
PRE-B1b,PRE-N2,POST-B1b-H2,POST-N2,,19.66,19.70,-0.04
PRE-B1b,PRE-N2,POST-B1b-H3,POST-N2,,21.70,22.10,-0.40
PRE-B1c,PRE-N2,POST-B1c-H1,POST-N2,,12.09,13.00,-0.91
PRE-B1c,PRE-N2,POST-B1c-H2,POST-N2,,17.60,17.80,-0.20
PRE-B1c,PRE-N2,POST-B1c-H3,POST-N2,,20.53,20.50,0.03
PRE-B1d,PRE-N2,POST-B1d-H1,POST-N2,,22.72,23.40,-0.68
PRE-B1d,PRE-N2,POST-B1d-H2,POST-N2,,20.59,20.70,-0.11
PRE-B1d,PRE-N2,POST-B1d-H3,POST-N2,,22.35,22.90,-0.55
PRE-B1e,PRE-N2,POST-B1e-H1,POST-N2,,14.08,14.90,-0.82
PRE-B1e,PRE-N2,POST-B1e-H2,POST-N2,,18.34,19.90,-1.56
PRE-B1e,PRE-N2,POST-B1e-H3,POST-N2,,20.73,21.30,-0.57
PRE-B1f,PRE-N2,POST-B1f-H1,POST-N2,,15.07,15.20,-0.13
PRE-B1f,PRE-N2,POST-B1f-H2,POST-N2,,18.05,19.00,-0.95
PRE-B1f,PRE-N2,POST-B1f-H3,POST-N2,,20.43,20.80,-0.37
PRE-B1h,PRE-N2,POST-B1h-H1,POST-N2,,15.36,16.00,-0.64
PRE-B1h,PRE-N2,POST-B1h-H2,POST-N2,,18.01,17.70,0.31
PRE-B1h,PRE-N2,POST-B1h-H3,POST-N2,,20.29,20.00,0.29
PRE-B1j,PRE-N2,POST-B1j-H1,POST-N2,,19.49,20.10,-0.61
PRE-B1j,PRE-N2,POST-B1j-H2,POST-N2,,19.46,20.30,-0.84
PRE-B1j,PRE-N2,POST-B1j-H3,POST-N2,,21.32,21.70,-0.38
PRE-B1k,PRE-N2,POST-B1k-H1,POST-N2,,23.52,23.60,-0.08
PRE-B1k,PRE-N2,POST-B1k-H2,POST-N2,,19.63,20.40,-0.77
PRE-B1k,PRE-N2,POST-B1k-H3,POST-N2,,21.42,22.20,-0.78
PRE-B1l,PRE-N2,POST-B1l-H1,POST-N2,,19.88,19.60,0.28
PRE-B1l,PRE-N2,POST-B1l-H2,POST-N2,,18.40,19.10,-0.70
PRE-B1l,PRE-N2,POST-B1l-H3,POST-N2,,20.50,20.90,-0.40
PRE-B1m,PRE-N2,POST-B1m-H1,POST-N2,,18.33,18.40,-0.07
PRE-B1m,PRE-N2,POST-B1m-H2,POST-N2,,17.75,17.70,0.05
PRE-B1m,PRE-N2,POST-B1m-H3,POST-N2,,20.26,20.70,-0.44
PRE-B1n,PRE-N2,POST-B1n-H1,POST-N2,,10.10,10.10,0.00
PRE-B1n,PRE-N2,POST-B1n-H2,POST-N2,,17.75,18.10,-0.35
PRE-B1n,PRE-N2,POST-B1n-H3,POST-N2,,20.37,20.80,-0.43
PRE-B2a,PRE-N2,POST-B2a-H1,POST-N2,,15.73,16.00,-0.27
PRE-B2a,PRE-N2,POST-B2a-H2,POST-N2,,20.30,20.50,-0.20
PRE-B2b,PRE-N2,POST-B2b-H1,POST-N2,,18.81,19.50,-0.69
PRE-B2b,PRE-N2,POST-B2b-H2,POST-N2,,22.73,23.00,-0.27
PRE-B2c,PRE-N2,POST-B2c-H1,POST-N2,,11.53,13.70,-2.17
PRE-B2c,PRE-N2,POST-B2c-H2,POST-N2,,20.67,21.10,-0.43
PRE-B2d,PRE-N2,POST-B2d-H1,POST-N2,,20.77,20.60,0.17
PRE-B2d,PRE-N2,POST-B2d-H2,POST-N2,,23.64,23.30,0.34
PRE-B2e,PRE-N2,POST-B2e-H1,POST-N2,,13.56,13.70,-0.14
PRE-B2e,PRE-N2,POST-B2e-H2,POST-N2,,20.79,20.90,-0.11
PRE-B2f,PRE-N2,POST-B2f-H1,POST-N2,,14.44,14.10,0.34
PRE-B2f,PRE-N2,POST-B2f-H2,POST-N2,,20.85,21.40,-0.55
PRE-B2h,PRE-N2,POST-B2h-H1,POST-N2,,13.96,13.90,0.06
PRE-B2h,PRE-N2,POST-B2h-H2,POST-N2,,20.91,20.70,0.21
PRE-B2j,PRE-N2,POST-B2j-H1,POST-N2,,18.14,19.00,-0.86
PRE-B2j,PRE-N2,POST-B2j-H2,POST-N2,,22.35,23.60,-1.25
PRE-B2k,PRE-N2,POST-B2k-H1,POST-N2,,20.50,21.40,-0.90
PRE-B2k,PRE-N2,POST-B2k-H2,POST-N2,,22.71,23.60,-0.89
PRE-B2l,PRE-N2,POST-B2l-H1,POST-N2,,17.66,18.10,-0.44
PRE-B2l,PRE-N2,POST-B2l-H2,POST-N2,,21.25,21.40,-0.15
PRE-B2m,PRE-N2,POST-B2m-H1,POST-N2,,16.70,16.40,0.30
PRE-B2m,PRE-N2,POST-B2m-H2,POST-N2,,20.22,20.20,0.02
PRE-B2n,PRE-N2,POST-B2n-H1,POST-N2,,9.83,10.50,-0.67
PRE-B2n,PRE-N2,POST-B2n-H2,POST-N2,,20.60,20.90,-0.30
PRE-C1a,PRE-N2,POST-C1a-H1,POST-N2,,15.70,16.30,-0.60
PRE-C1b,PRE-N2,POST-C1b-H1,POST-N2,,18.72,19.40,-0.68
PRE-C1c,PRE-N2,POST-C1c-H1,POST-N2,,12.67,13.80,-1.13
PRE-C1d,PRE-N2,POST-C1d-H1,POST-N2,,20.25,21.40,-1.15
PRE-C1e,PRE-N2,POST-C1e-H1,POST-N2,,14.60,14.90,-0.30
PRE-C1f,PRE-N2,POST-C1f-H1,POST-N2,,14.35,15.30,-0.95
PRE-C1h,PRE-N2,POST-C1h-H1,POST-N2,,14.28,14.80,-0.52
PRE-C1i,PRE-N2,POST-C1i-H1,POST-N2,,17.01,18.60,-1.59
PRE-C1j,PRE-N2,POST-C1j-H1,POST-N2,,18.31,18.80,-0.49
PRE-C1k,PRE-N2,POST-C1k-H1,POST-N2,,20.08,20.80,-0.72
PRE-C1l,PRE-N2,POST-C1l-H1,POST-N2,,17.63,17.20,0.43
PRE-C1m,PRE-N2,POST-C1m-H1,POST-N2,,16.10,15.80,0.30
PRE-C1n,PRE-N2,POST-C1n-H1,POST-N2,,10.56,10.20,0.36
PRE-D1a,PRE-N2,POST-D1a-H1,POST-N2,,15.27,15.20,0.07
PRE-D1b,PRE-N2,POST-D1b-H1,POST-N2,,17.35,18.30,-0.95
PRE-D1c,PRE-N2,POST-D1c-H1,POST-N2,,12.50,13.40,-0.90
PRE-D1d,PRE-N2,POST-D1d-H1,POST-N2,,19.68,20.60,-0.92
PRE-D1e,PRE-N2,POST-D1e-H1,POST-N2,,14.53,14.80,-0.27
PRE-D1f,PRE-N2,POST-D1f-H1,POST-N2,,13.75,14.40,-0.65
PRE-D1h,PRE-N2,POST-D1h-H1,POST-N2,,13.92,14.60,-0.68
PRE-D1j,PRE-N2,POST-D1j-H1,POST-N2,,17.42,18.40,-0.98
PRE-D1k,PRE-N2,POST-D1k-H1,POST-N2,,19.47,20.10,-0.63
PRE-D1l,PRE-N2,POST-D1l-H1,POST-N2,,17.08,17.30,-0.22
PRE-D1m,PRE-N2,POST-D1m-H1,POST-N2,,17.12,18.00,-0.88
PRE-D1n,PRE-N2,POST-D1n-H1,POST-N2,,10.76,11.00,-0.24
PRE-E1a,PRE-N2,POST-E1a-H1,POST-N2,,17.44,18.30,-0.86
PRE-E1b,PRE-N2,POST-E1b-H1,POST-N2,,19.56,20.40,-0.84
PRE-E1c,PRE-N2,POST-E1c-H1,POST-N2,,14.29,15.30,-1.01
PRE-E1d,PRE-N2,POST-E1d-H1,POST-N2,,21.72,22.60,-0.88
PRE-E1e,PRE-N2,POST-E1e-H1,POST-N2,,15.69,16.10,-0.41
PRE-E1f,PRE-N2,POST-E1f-H1,POST-N2,,15.79,16.80,-1.01
PRE-E1h,PRE-N2,POST-E1h-H1,POST-N2,,15.51,16.20,-0.69
PRE-E1i,PRE-N2,POST-E1i-H1,POST-N2,,18.61,19.70,-1.09
PRE-E1j,PRE-N2,POST-E1j-H1,POST-N2,,19.36,19.70,-0.34
PRE-E1k,PRE-N2,POST-E1k-H1,POST-N2,,21.40,21.90,-0.50
PRE-E1l,PRE-N2,POST-E1l-H1,POST-N2,,19.32,19.00,0.32
PRE-E1m,PRE-N2,POST-E1m-H1,POST-N2,,18.24,18.00,0.24
PRE-E1n,PRE-N2,POST-E1n-H1,POST-N2,,13.75,15.30,-1.55
PRE-F1a,PRE-N2,POST-F1a-H1,POST-N2,,15.86,16.20,-0.34
PRE-F1b,PRE-N2,POST-F1b-H1,POST-N2,,18.59,19.30,-0.71
PRE-F1c,PRE-N2,POST-F1c-H1,POST-N2,,12.18,12.60,-0.42
PRE-F1d,PRE-N2,POST-F1d-H1,POST-N2,,21.71,22.10,-0.39
PRE-F1e,PRE-N2,POST-F1e-H1,POST-N2,,15.52,15.80,-0.28
PRE-F1f,PRE-N2,POST-F1f-H1,POST-N2,,13.88,14.90,-1.02
PRE-F1h,PRE-N2,POST-F1h-H1,POST-N2,,14.41,14.40,0.01
PRE-F1j,PRE-N2,POST-F1j-H1,POST-N2,,18.56,20.10,-1.54
PRE-F1k,PRE-N2,POST-F1k-H1,POST-N2,,21.23,21.80,-0.57
PRE-F1l,PRE-N2,POST-F1l-H1,POST-N2,,18.99,19.70,-0.71
PRE-F1m,PRE-N2,POST-F1m-H1,POST-N2,,19.23,20.20,-0.97
PRE-F1n,PRE-N2,POST-F1n-H1,POST-N2,,10.87,10.40,0.47
PRE-G1a,PRE-N2,POST-G1a-H1,POST-N2,,16.51,16.50,0.01
PRE-G1b,PRE-N2,POST-G1b-H1,POST-N2,,19.01,20.10,-1.09
PRE-G1c,PRE-N2,POST-G1c-H1,POST-N2,,12.49,12.80,-0.31
PRE-G1d,PRE-N2,POST-G1d-H1,POST-N2,,22.37,23.90,-1.53
PRE-G1e,PRE-N2,POST-G1e-H1,POST-N2,,14.99,15.40,-0.41
PRE-G1f,PRE-N2,POST-G1f-H1,POST-N2,,14.38,14.70,-0.32
PRE-G1h,PRE-N2,POST-G1h-H1,POST-N2,,14.42,14.50,-0.08
PRE-G1i,PRE-N2,POST-G1i-H1,POST-N2,,17.76,17.90,-0.14
PRE-G1j,PRE-N2,POST-G1j-H1,POST-N2,,19.00,19.70,-0.70
PRE-G1k,PRE-N2,POST-G1k-H1,POST-N2,,21.78,22.70,-0.92
PRE-G1l,PRE-N2,POST-G1l-H1,POST-N2,,19.21,19.20,0.01
PRE-G1m,PRE-N2,POST-G1m-H1,POST-N2,,18.81,19.70,-0.89
